,precision,recall,f1-score,support
truthful(0),0.6067415730337079,0.675,0.6390532544378699,80.0
deceptive(1),0.6338028169014085,0.5625,0.5960264900662251,80.0
accuracy,0.61875,0.61875,0.61875,0.61875
macro avg,0.6202721949675583,0.61875,0.6175398722520475,160.0
weighted avg,0.6202721949675583,0.61875,0.6175398722520475,160.0
