top_deceptive_terms,top_truthful_terms
relax,priceline
originally,sofa
settled,25
eggs,fridge
steak,stated
claims,removed
luxury,spoon
maids,seasons
sorely,honor
yellow,blocks
shown,facing
dissatisfied,peeling
hate,doormen
demanded,shoes
patrons,soda
windy,peninsula
relatively,points
celebrate,3rd
counter,luck
smell,adults
