,precision,recall,f1-score,support
truthful(0),0.8051948051948052,0.775,0.7898089171974523,80.0
deceptive(1),0.7831325301204819,0.8125,0.7975460122699386,80.0
accuracy,0.79375,0.79375,0.79375,0.79375
macro avg,0.7941636676576436,0.79375,0.7936774647336955,160.0
weighted avg,0.7941636676576436,0.79375,0.7936774647336954,160.0
