,precision,recall,f1-score,support
truthful(0),0.7684,0.9125,0.8343,80
deceptive(1),0.8923,0.725,0.8,80
accuracy,0.8188,0.8188,0.8188,
macro avg,0.8304,0.8188,0.8171,160
weighted avg,0.8304,0.8188,0.8171,160
