,precision,recall,f1-score,support
truthful(0),0.6265060240963856,0.65,0.6380368098159509,80.0
deceptive(1),0.6363636363636364,0.6125,0.6242038216560509,80.0
accuracy,0.63125,0.63125,0.63125,0.63125
macro avg,0.631434830230011,0.6312500000000001,0.6311203157360009,160.0
weighted avg,0.6314348302300109,0.63125,0.6311203157360008,160.0
