,precision,recall,f1-score,support
truthful(0),0.7551,0.925,0.8315,80
deceptive(1),0.9032,0.7,0.7887,80
accuracy,0.8125,0.8125,0.8125,
macro avg,0.8292,0.8125,0.8101,160
weighted avg,0.8292,0.8125,0.8101,160
