top_deceptive_terms,top_truthful_terms
chicago millennium,priceline
sheraton chicago,booked hotel
millennium knickerbocker,25
hotel towers,sofa
luxury hotel,fridge
relax,stated
originally,spoon
james chicago,honor
took hours,blocks
settled,general manager
monaco chicago,delivered room
eggs,removed
conrad chicago,seasons
fresh towels,peeling
steak,peninsula
recent stay,shoes
hotel downtown,doormen
claims,soda
end hotel,facing
luxury,movie
