,precision,recall,f1-score,support
truthful(0),0.8181818181818182,0.7875,0.802547770700637,80.0
deceptive(1),0.7951807228915663,0.825,0.8098159509202454,80.0
accuracy,0.80625,0.80625,0.80625,0.80625
macro avg,0.8066812705366923,0.8062499999999999,0.8061818608104412,160.0
weighted avg,0.8066812705366923,0.80625,0.8061818608104412,160.0
