top_deceptive_terms,top_truthful_terms
hate,goes
flavor,keeping
impression,2009
cleaned,cost
layout,later
basis,appliances
encountered,health
hassle,known
enjoy,idea
chatting,depart
indifferent,just
nicely,foul
casual,cherry
decided,freak
automatically,incompetent
kimpton,concern
forth,embarrassing
occupied,25
buck,alarm
item,facilities
