,precision,recall,f1-score,support
truthful(0),0.6746987951807228,0.7,0.6871165644171778,80.0
deceptive(1),0.6883116883116883,0.6625,0.6751592356687898,80.0
accuracy,0.68125,0.68125,0.68125,0.68125
macro avg,0.6815052417462055,0.6812499999999999,0.6811379000429838,160.0
weighted avg,0.6815052417462055,0.68125,0.6811379000429838,160.0
