,precision,recall,f1-score,support
truthful(0),0.8160919540229885,0.8875,0.8502994011976048,80.0
deceptive(1),0.8767123287671232,0.8,0.8366013071895425,80.0
accuracy,0.84375,0.84375,0.84375,0.84375
macro avg,0.8464021413950559,0.84375,0.8434503541935736,160.0
weighted avg,0.8464021413950558,0.84375,0.8434503541935736,160.0
